listen_id,user_id,song_id,listen_date
c682708a-a640-4718-a573-bd2043eded53,183,20,"2025-05-27T08:40:28.153Z"
f5910e6c-8bc0-4f26-9a6a-d24401de94f5,197,12,"2024-10-14T17:09:30.153Z"
5336763e-d059-4ce2-af00-923da0a043b6,228,28,"2025-02-18T18:42:48.154Z"
19bcba63-e448-4c6e-b875-5a9c8abe48ea,260,17,"2025-05-03T16:24:46.154Z"
c064628b-4a2f-4a0b-8bc5-2b8a357f964e,139,33,"2025-01-29T23:35:46.154Z"
f732590e-a6a2-4b22-9ff4-ab986ce4a705,212,25,"2024-07-15T21:03:09.154Z"
3cd229ca-4142-470c-a54e-1740e21438e3,279,8,"2024-09-11T01:00:17.154Z"
875fa24c-baa8-479e-b472-f3a414b98df9,117,30,"2024-11-11T06:12:43.154Z"
caac8050-3b53-4da4-b7c4-043ecac59fe9,104,16,"2025-02-23T18:05:21.154Z"
4aa60298-7211-4b7b-9b6b-c52a546bcaec,283,22,"2025-03-06T04:57:13.154Z"
dfe2263f-e2bf-41b6-808c-c6127d50b4a5,162,27,"2024-07-05T20:02:20.154Z"
3b21eeb9-6be5-4b43-be4f-31b1f2554c51,159,2,"2025-04-08T21:59:59.154Z"
f0c7c92f-c86a-4703-ad75-ce6af35c55d1,178,47,"2025-03-16T18:21:19.154Z"
503b21b2-627c-4c79-bc68-b8562960f471,151,13,"2025-01-30T19:27:04.154Z"
5bd0a0b3-e329-4d46-974c-daa8a778d68a,172,23,"2024-10-07T21:06:09.154Z"
c0658b31-8e1a-4f92-ac5d-f14a5ec852de,200,45,"2024-06-27T16:46:33.154Z"
1bac04a3-9d9e-4fb0-93e8-e2332d9c0d89,168,35,"2025-05-22T01:59:09.154Z"
7fe84e83-af08-49b0-9a88-5cea62ffbf24,189,10,"2024-10-03T11:23:41.154Z"
7756aeeb-2eb0-452d-b5e5-49ac78e12220,208,13,"2024-07-13T10:47:15.154Z"
928278dd-aad6-460c-b879-5908284e66c8,174,4,"2024-10-01T12:12:54.154Z"
e85aa49c-3f1c-4d11-afd5-12152f18d60f,164,4,"2025-03-18T13:52:33.154Z"
684f0858-af6b-4f0b-9469-9fcf683a1845,286,16,"2024-10-09T08:50:48.154Z"
c395c680-7bec-41ef-9171-136908684a5f,153,15,"2025-01-27T03:01:11.154Z"
b9ce4daf-7fd8-46b0-bbc9-e47bfbeabddb,186,26,"2025-04-15T05:58:44.154Z"
70d128f8-fc7b-4489-aa4f-3ae0bf77312f,145,45,"2024-12-29T06:29:28.154Z"
54d1ec4a-ecbf-4e14-a325-e50c261c829c,142,15,"2024-07-09T07:38:44.154Z"
b68d35d3-3f36-471d-bfdd-a328610f0597,228,8,"2024-11-16T22:29:55.154Z"
50bd9d85-0707-4b47-b388-5402f987114d,258,30,"2025-05-05T04:04:11.154Z"
469e00da-8318-4ef9-87c8-ba43307bb34d,180,38,"2025-06-01T08:20:00.154Z"
1985b7a2-33ca-42c1-b9bd-c11cc9fd4ad0,173,25,"2024-06-28T14:51:43.154Z"
09f6d0f9-4ce7-455e-8f05-b4518134b972,250,1,"2024-10-02T03:24:27.154Z"
1830a20f-308e-48b8-9879-2f81fcda03d4,296,38,"2024-11-11T15:15:05.154Z"
e0722ff0-4c28-43ad-88ea-758103c3ffaa,149,40,"2025-05-12T15:40:20.154Z"
265f85c6-54a3-4a77-9049-e5c03831d6cc,293,35,"2024-12-01T18:32:18.154Z"
2eecc819-f23b-44c0-9cf1-966012f0d8e9,172,7,"2025-03-25T00:29:48.154Z"
0ba01f03-51f7-49f7-9d0f-adb15fb9b9ed,135,6,"2024-10-12T14:30:03.154Z"
bddf8d27-34a7-4af6-935a-d39e42572059,292,18,"2024-11-26T20:34:30.154Z"
5a489fea-d204-4f50-9864-93b98354cc60,175,50,"2024-09-10T21:02:02.154Z"
5b95dfd0-731e-4f6c-8525-e21ed9030a1e,293,23,"2024-10-04T07:06:41.154Z"
d2d826bd-954b-4a2f-ac5f-e303886fa10d,236,49,"2024-06-23T18:06:17.154Z"
cb9d07e6-4cf5-4937-a258-e39ccbf50af7,183,40,"2024-12-31T20:09:48.154Z"
8e32dbcb-f25f-471e-bb8a-d38f42052ca4,188,45,"2024-07-28T07:03:09.154Z"
7e9eee3c-edfb-497b-8c50-9be6e50038f0,145,43,"2024-07-17T02:04:02.154Z"
97bf5a4e-b8ee-48f7-998c-f4d0a2b8dd44,108,29,"2025-03-30T02:47:30.154Z"
a7d10ff2-ac94-4552-92d9-f01c8c3becd9,106,11,"2025-04-24T08:22:01.154Z"
a79e0257-1394-42de-ac6f-aad8445e41d7,136,33,"2025-01-14T04:22:47.154Z"
6a445ac0-dbaa-4861-9d86-c872b69228d5,297,29,"2025-01-26T07:00:19.154Z"
3dc5954b-adfb-4f75-a61d-b952a498faac,192,4,"2024-08-26T15:38:33.154Z"
3645d402-e89f-427c-a2e0-89af49d4c688,247,41,"2024-12-06T19:53:45.154Z"
00e92a3b-bedb-4638-b669-8803cec3c5e1,260,4,"2024-11-30T05:21:10.154Z"
0d87322f-bf77-4ff4-8483-a47a71d3a8d6,187,9,"2025-02-15T10:24:49.154Z"
8af234de-9630-4c31-bd06-0a8da247f674,299,12,"2024-08-20T16:46:12.154Z"
9d5f16b0-8cb9-4057-a356-e1e04fef947e,240,29,"2024-12-31T13:46:05.154Z"
1c0b260b-df1c-4bc9-94d9-5e51a1af96c5,276,7,"2024-12-03T13:45:02.154Z"
4ce846c5-ed39-4bc0-8372-33f0ae818727,253,42,"2024-11-24T23:21:11.154Z"
59736fd8-fff9-4833-a9f2-6678147d4ee0,287,8,"2024-10-17T10:34:51.154Z"
6dd3efa9-5025-4d05-8da9-e779bf3a92d0,166,43,"2024-08-01T20:00:04.154Z"
d2e73bba-7ea3-4906-86c3-5ab46c1c36d6,104,32,"2024-07-11T12:00:33.154Z"
1a6784e3-91e0-417c-bf6f-19adcc1ea790,184,14,"2024-12-16T14:44:02.154Z"
e9060121-a44d-4b6b-a9ad-47054114a807,238,30,"2025-02-18T10:27:26.154Z"
04c62bda-2251-414d-93ec-c1f23e69ffba,129,26,"2024-12-12T11:39:45.154Z"
a5e15eea-ac7f-44a8-9e5c-197046765305,157,50,"2025-04-08T04:25:40.154Z"
aab9cf10-b4bf-45b0-8738-b3cbf656b5ad,179,32,"2025-04-19T02:44:05.154Z"
92d6ed60-cd5c-4d54-ba97-8f1a6c7271ec,132,25,"2024-09-05T16:34:23.154Z"
75c5ad47-0ee6-4ba1-a0aa-0aab131af4eb,135,40,"2024-10-21T05:44:49.154Z"
6c0d3bf8-b8ff-4416-ab4f-c6b3c757aeca,229,32,"2024-09-03T13:08:56.154Z"
3698252c-f295-47cd-bed9-fda0911824ad,189,27,"2025-05-22T01:49:33.154Z"
d6b3469a-3c52-4d22-8dcc-bc13f2ee8e57,177,12,"2025-03-01T07:41:58.154Z"
e487bd1e-7385-473e-b6bb-78f7b48523a6,110,14,"2024-09-02T09:08:02.154Z"
46100030-aa6c-42a3-873a-01f6a77f97f5,141,27,"2024-10-18T17:43:44.154Z"
273d39e4-0dba-41e5-80ed-543a0ea9cda6,240,21,"2024-08-11T04:33:09.154Z"
b589decf-5d8f-4fbc-940a-0857972c0094,227,20,"2024-11-05T20:16:34.154Z"
878b5e17-4d58-42a5-896c-14d88ab63ba4,266,31,"2024-06-19T16:35:24.154Z"
bc86af2d-cfb5-45e2-9266-bc62577a2109,138,24,"2025-03-28T07:52:51.154Z"
4203ce6a-0507-4d77-bb7f-de77feabd390,232,22,"2025-03-30T10:16:21.154Z"
5e69f36c-04a4-467c-be9c-c2fe9d867a37,117,13,"2025-03-31T08:21:15.154Z"
defa974b-71a3-4e5a-afee-d9d0de906372,102,36,"2025-03-15T03:58:48.154Z"
cbc210c2-12eb-4da4-b8c4-bbc8a0ae28c8,229,28,"2025-01-12T11:57:35.154Z"
e54e2c3c-62ed-4407-84d5-3b47fb8a3565,214,23,"2025-03-28T00:25:46.155Z"
05060b94-6a8b-40f9-8ba2-748e505e7ced,124,30,"2024-07-01T20:23:22.155Z"
1919343e-2594-4a6e-8f44-41726ac54c30,143,3,"2025-02-05T20:38:29.155Z"
98ef33cc-3ae0-4739-8710-89bb078be7c8,114,9,"2025-01-17T17:51:59.155Z"
acc77bf6-3011-4900-8445-9f7e98465346,154,9,"2025-03-20T09:14:32.155Z"
c91ca7ae-de54-42c3-842f-e32aa878a560,101,30,"2025-01-13T07:07:02.155Z"
43d12454-1138-4264-b31a-608c208b0a6c,193,4,"2024-07-23T20:17:07.155Z"
991f5627-83f7-4695-aa6b-8fa8eaccbc68,236,4,"2024-12-31T07:55:21.155Z"
5996f2d4-6fda-46f7-b50c-3a5c638224a7,279,40,"2024-10-19T05:50:55.155Z"
9eb26e8d-4f85-42a0-a0bd-9322d2006732,105,26,"2025-03-11T18:51:16.155Z"
3ae861ad-9f58-4b1e-a933-a7c8992f563d,273,17,"2025-05-14T05:49:26.155Z"
105b529d-9752-4185-813f-7e86b12045ae,129,49,"2025-02-09T21:26:14.155Z"
5a258312-a7e4-42f6-b268-62654ad2f6cb,266,50,"2025-05-16T10:01:31.155Z"
49faed25-f137-4050-bcfb-b81dd542c8b6,193,1,"2025-04-03T16:01:41.155Z"
3e74f815-af17-4fc5-a516-3082ee4a5eab,103,45,"2024-08-23T09:35:12.155Z"
a7a00466-0336-41a0-9d58-979c575ee3e5,129,11,"2025-01-08T10:46:38.155Z"
ff4fa9d6-a94f-4714-a88e-7d7ff4e57afc,186,46,"2025-04-19T19:24:55.155Z"
ed867743-19fa-4023-bd7b-f719460506a3,136,43,"2024-09-27T07:33:12.155Z"
153a85cb-9818-4a88-aba4-c6d9ee312ca1,238,44,"2025-04-21T06:58:27.155Z"
bf47e753-b3ac-4161-ba29-2e29164ab9bb,293,49,"2024-10-24T17:59:59.155Z"
67269003-3cb2-4b61-981c-38dcba2dc5b6,266,38,"2024-09-11T04:14:01.155Z"
9f38142b-2b14-4051-8a40-739be02342ab,296,41,"2024-12-23T00:10:17.155Z"
4e862bad-46bb-4e39-87e8-e7808581046b,189,23,"2024-07-03T09:23:05.155Z"
b631d973-5399-43e1-a247-6e011686884d,165,10,"2024-10-03T14:43:46.155Z"
43b78509-6417-406e-876b-814ce4a58e70,146,16,"2024-08-10T23:12:44.155Z"
c9020c83-c1c7-4c47-9852-8c591506f643,153,33,"2025-03-03T01:26:54.155Z"
43c3163c-1ceb-4454-98d5-e5ea4f96b2e8,181,39,"2024-09-21T22:23:30.155Z"
f2319569-d532-4f8e-81b0-5807ac0f58e0,166,6,"2024-09-05T09:05:03.155Z"
3415c020-21b3-4176-917c-530fb9d79897,186,4,"2024-08-22T13:11:11.155Z"
eb471b9d-e0a8-41cc-9504-2d57e86c2fe8,199,9,"2024-06-16T19:17:49.155Z"
c71c62d7-c8f3-4f92-af59-ae7a7fc19323,124,33,"2024-09-27T21:52:42.155Z"
9453d029-6b5b-43e3-8a6b-6792502f878a,161,26,"2024-06-19T03:02:57.155Z"
99cab567-bfff-473a-ba0f-9b1bc36059ea,134,26,"2025-05-20T23:49:48.155Z"
14bb1722-79c2-4e27-985d-d51fe815c126,127,46,"2024-11-27T14:19:17.155Z"
04d9a876-f939-49c5-9c88-b342e72547b3,274,16,"2025-05-24T01:53:18.155Z"
45b4ceea-b23a-4576-88cf-60b9815a18ae,233,38,"2025-02-12T05:41:19.155Z"
e9f89a45-fff9-4b26-a067-f541683229b6,187,3,"2024-12-10T19:50:14.155Z"
f4f94f12-307c-4e4c-9136-9e0a5734cd4b,138,46,"2024-12-22T21:53:01.155Z"
08479cb9-0dab-4f44-bd48-d74d55b90329,237,25,"2024-06-27T08:14:12.155Z"
df44fa1e-ee33-40bf-9e71-f31f816e70c1,137,25,"2024-10-07T07:00:59.155Z"
753f6241-0717-4469-949e-cf5cd1f3d6c9,131,26,"2024-10-07T19:13:28.155Z"
9f394240-5bff-4f5a-94f2-0b7a12f44dce,177,44,"2025-03-21T20:00:50.155Z"
cfeb7047-c48a-4ccf-bd55-b96755203647,286,47,"2024-08-27T06:18:32.155Z"
a754284c-0b39-45f0-b138-41dc355fc973,281,5,"2024-11-15T19:31:50.155Z"
